,S.No,actual,pred,alive,plod,Name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
15,35,1,1,0.996,0.004,xhondo,,1,Summer Isles,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.02006689,1,None,,,,26.0,1,0,0,0,0,1,0
16,36,1,1,0.9890000000000001,0.011000000000000001,ygon farwynd,,1,,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
17,38,1,1,0.997,0.003,yohn farwynd,,1,Ironborn,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
18,42,0,1,0.759,0.24100000000000002,young henly,,1,,240.0,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59.0,0,0,0,0.013377926000000002,0,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
19,43,1,0,0.184,0.816,ysilla,,0,,,,,,,,Yandry,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.040133779,1,House Targaryen,,,,8.0,1,0,0,0,0,0,1
20,45,1,1,0.809,0.191,zei,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1,Stark,,,,64.0,0,0,0,0,1,0,0
21,49,1,1,0.8640000000000001,0.136,wex pyke,,1,Ironborn,286.0,,,,,House Botley,,0,1,1,1,1,,,,,0,0,19.0,0,0,0,0.113712375,1,Stark,,,,24.0,1,0,0,1,0,0,1
22,50,1,0,0.207,0.7929999999999999,timett,red hand,1,Vale mountain clans,278.0,,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27.0,0,0,0,0.073578595,1,Lannister,,,,56.0,1,0,1,1,0,0,0
23,51,0,0,0.397,0.603,joffrey baratheon,,1,,,,Cersei Lannister,Robert Baratheon,Tommen Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,0,House Lannister,300.0,3.0,60.0,5.0,1,1,1,1,1,0,0
24,53,0,1,0.875,0.125,leobald tallhart,Castellan,1,Northmen,,299.0,,,,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.11036789300000001,0,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0
25,55,1,0,0.35200000000000004,0.648,margaery tyrell,Seven Kingdoms,0,Reach,283.0,,,,,House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0.0,1,1,22.0,3,1,1,1.0,1,House Tyrell,,,,22.0,0,1,0,1,1,1,0
26,62,1,1,0.968,0.032,quhuru mo,,1,Summer Isles,,,,,,,,0,1,0,1,0,,,,,0,0,,0,0,0,0.040133779,1,None,,,,27.0,1,0,0,1,0,1,0
27,66,0,1,0.65,0.35,quort,,1,,285.0,299.0,,,,wildling,,0,0,1,0,0,,,,,0,0,14.0,0,0,0,0.010033445,0,Wildling,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
28,67,0,1,0.7829999999999999,0.217,qyle,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,Night's Watch,299.0,2.0,2.0,2.0,1,0,0,1,0,0,0
29,70,1,1,0.988,0.012,ragnor pyke,,0,Ironborn,,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,House Greyjoy,,,,29.0,1,0,0,0,0,1,0
30,72,1,1,0.746,0.254,randa,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
31,73,0,0,0.132,0.868,rast,,1,,,299.0,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.066889632,0,Night's Watch,299.0,3.0,26.0,55.0,1,0,1,0,1,0,0
32,75,1,1,0.716,0.284,raymar royce,Lord,1,,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,0,0,0.013377926000000002,1,Arryn,,,,45.0,1,1,0,0,1,0,0
33,81,0,0,0.28300000000000003,0.7170000000000001,red rolfe,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
34,84,1,1,0.7170000000000001,0.28300000000000003,reysen,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.023411371,1,Night's Watch,,,,5.0,1,0,0,1,0,0,0
35,95,1,1,0.998,0.002,rigney,Archmaester,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.003344482,1,None,,,,11.0,1,0,0,0,0,1,0
36,102,0,0,0.036000000000000004,0.9640000000000001,robb stark,,1,,,,Catelyn Stark,Eddard Stark,Bran Stark,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,1,1,1.0,0,House Stark,299.0,3.0,51.0,1.0,1,1,1,1,1,0,0
37,112,1,0,0.478,0.522,roger ryswell,,1,Northmen,,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.046822742,1,Stark,,,,20.0,1,1,0,0,0,0,1
38,113,1,1,0.993,0.006999999999999999,rolder,,1,,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,1,House Lannister,,,,21.0,1,0,0,0,0,1,0
39,115,1,1,0.7020000000000001,0.298,rolfe,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,Greyjoy,,,,24.0,1,0,0,1,0,0,0
40,117,1,1,0.762,0.23800000000000002,rollam westerling,,1,,290.0,,,,,House Westerling,,0,0,1,1,0,,,,,0,0,15.0,0,0,0,0.043478261,1,Stark,,,,14.0,1,1,0,0,1,0,0
41,118,1,1,0.99,0.01,romny weaver,,1,Ironborn,,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,0,0,0.02006689,1,Greyjoy,,,,18.0,1,1,0,0,0,1,0
42,119,1,0,0.39399999999999996,0.606,ronald storm,,1,,,,,,,House Connington,,0,0,0,0,1,,,,,0,0,,0,0,0,0.040133779,1,None,,,,61.0,1,0,0,0,0,0,1
43,121,1,1,0.7390000000000001,0.261,ronnel harclay,,0,,,,,,,House Harclay,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1,Night's Watch,,,,48.0,1,1,0,0,1,0,0
44,125,1,0,0.478,0.522,roose ryswell,,1,Northmen,,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.030100334,1,None,,,,32.0,1,1,0,0,0,0,1
45,128,0,1,0.7829999999999999,0.217,rowan,,1,Free folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.060200669000000005,0,Wildling,300.0,5.0,69.0,37.0,1,0,0,0,0,0,1
46,129,1,1,0.603,0.397,rudge,,0,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,Night's Watch,,,,60.0,1,0,1,0,0,0,0
47,133,1,1,0.813,0.187,rusty flowers,,1,,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0,1,Night's Watch,,,,7.0,1,0,0,0,0,0,1
48,135,1,1,0.9890000000000001,0.011000000000000001,ryk,,1,Free folk,,,,,,,Munda,0,0,1,1,1,,,,1.0,1,0,,0,0,0,0.026755853,1,Wildling,,,,7.0,1,0,0,0,1,0,0
49,141,0,0,0.151,0.8490000000000001,sallor,,1,Qartheen,,299.0,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,0,0,0.030100334,0,None,299.0,3.0,42.0,42.0,1,0,0,0,1,0,0
50,147,1,1,0.7020000000000001,0.298,sawwood,,1,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,Night's Watch,,,,0.0,1,0,0,0,1,0,0
51,148,1,1,0.746,0.254,sedgekins,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1,None,,,,50.0,1,0,0,0,1,0,0
52,151,1,1,0.81,0.19,sharna,,0,,,,,,,,Husband,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.036789298,1,None,,,,11.0,0,0,0,0,1,0,0
53,156,1,1,0.998,0.002,sigfry stonetree,,1,Ironborn,,,,,,House Stonetree,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
54,160,1,1,0.613,0.387,skinner,,1,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.033444816,1,None,,,,12.0,1,0,0,0,0,0,1
55,164,1,1,0.99,0.01,spare boot,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.013377926000000002,1,Night's Watch,,,,55.0,1,0,0,0,1,0,0
56,165,0,1,0.7240000000000001,0.276,softfoot,,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.02006689,0,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
57,166,0,1,0.813,0.187,spotted pate of maidenpool,,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,Night's Watch,299.0,3.0,55.0,0.0,1,0,0,0,1,0,0
58,167,0,0,0.32299999999999995,0.677,squint,,0,,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,0,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0
59,168,0,0,0.08,0.92,squirrel,,0,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,0,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
60,175,0,0,0.494,0.506,stone thumbs,,0,Free Folk,,299.0,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,0,Wildling,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
61,177,1,1,0.665,0.335,sybassion,,1,Qarth,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1,None,,,,63.0,1,0,0,1,0,0,0
62,179,1,0,0.29600000000000004,0.7040000000000001,symon stripeback,,1,,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,1,Targaryen,,,,70.0,1,0,0,0,0,0,1
63,182,1,1,0.945,0.055,tal toraq,,1,Summer Isles,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.023411371,1,Targaryen,,,,70.0,1,0,0,0,0,0,1
64,188,1,1,0.968,0.032,terrance lynderly,,0,,,,,,,House Lynderly,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,Arryn,,,,41.0,1,1,0,0,0,1,0
65,190,1,1,0.6659999999999999,0.33399999999999996,theo frey,Ser,1,,,,,,,House Frey,,1,0,0,0,0,,,,,0,1,,0,0,0,0.013377926000000002,1,None,,,,29.0,1,1,1,0,0,0,0
66,192,0,1,0.7240000000000001,0.276,thistle,,0,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.016722408,0,Wildling,300.0,5.0,0.0,0.0,0,0,0,0,0,0,1
67,196,1,1,0.74,0.26,timon,Ser,0,,,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.006688963000000001,1,Baratheon,,,,65.0,1,0,0,1,0,0,0
68,201,0,1,0.7190000000000001,0.281,todric,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,0,Greyjoy,299.0,2.0,37.0,37.0,1,0,0,1,0,0,0
69,206,1,1,0.937,0.063,torrek,,0,Vale mountain clans,,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,None,,,,42.0,1,0,1,0,0,0,0
70,207,0,1,0.772,0.228,tothmure,Maester,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,1,,0,0,0,0.013377926000000002,0,Lannister,299.0,2.0,64.0,30.0,1,0,0,1,0,0,0
71,209,0,1,0.8029999999999999,0.19699999999999998,tregar,,0,,,298.0,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,0,House Lannister,298.0,1.0,39.0,35.0,1,0,1,0,0,0,0
72,215,1,1,0.74,0.26,tuffleberry,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,38.0,1,0,0,1,0,0,0
73,216,1,1,0.74,0.26,tumberjon,,0,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,Night's Watch,,,,0.0,1,0,0,0,1,0,0
74,217,1,0,0.4,0.6,tumco lho,Ser,1,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.030100334,1,Targaryen,,,,67.0,1,0,0,0,0,0,1
75,220,1,1,0.76,0.24,tybero istarion,,1,,,,,,,Second Sons,,0,0,0,0,1,,,,,0,0,,0,0,0,0.013377926000000002,1,None,,,,66.0,1,0,0,0,0,0,1
76,221,1,0,0.32299999999999995,0.677,tymor,,1,,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,House Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
77,222,0,1,0.7959999999999999,0.204,ulf the ill,,0,Ironborn,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
78,225,1,1,0.674,0.326,umar,,0,Vale mountain clans,,,,,,Moon Brothers,,1,0,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,None,,,,56.0,1,0,1,0,0,0,0
79,226,1,1,0.838,0.162,umfred,,0,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,68.0,1,0,0,0,1,0,0
80,228,1,1,0.76,0.24,urreg,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1,Night's Watch,299.0,2.0,19.0,14.0,1,0,0,1,0,0,0
81,235,0,0,0.075,0.925,utt,Septon,1,,,299.0,,,,Brave Companions,,0,1,1,0,0,,,,,0,0,,0,0,0,0.023411371,0,None,299.0,3.0,39.0,30.0,1,0,0,1,1,0,0
82,247,1,0,0.201,0.799,walda rivers (daughter of aemon),,0,,295.0,,,,,House Frey,,0,0,1,0,0,,,,,0,0,10.0,0,0,0,0.026755853,1,None,,,,49.0,0,1,0,0,1,0,0
83,252,0,1,0.532,0.46799999999999997,wallen,,0,,,298.0,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.02006689,0,Wildling,298.0,1.0,37.0,37.0,1,0,1,0,0,0,0
84,253,1,1,0.9159999999999999,0.084,walton,,1,northmen,,,,,,House Bolton,,0,1,1,1,1,,,,,0,0,,0,0,0,0.046822742,1,None,,,,64.0,1,0,0,1,1,0,1
85,256,1,1,0.9059999999999999,0.094,blue bard,,1,,,,,,,House Tyrell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.053511706,1,House Tyrell,,,,12.0,1,0,0,0,0,1,0
86,257,1,1,0.988,0.012,wat (orphan),,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,37.0,1,0,0,0,0,1,0
87,258,1,1,0.99,0.01,wat (sailor),,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1,None,,,,34.0,1,0,0,0,0,1,0
88,262,0,1,0.7020000000000001,0.298,watt,,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.016722408,0,Night's Watch,299.0,3.0,75.0,69.0,1,0,0,0,1,0,0
89,263,1,1,0.758,0.242,wayn (guard),,1,Northmen,,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.010033445,1,House Stark,,,,37.0,1,0,1,0,0,0,0
90,264,1,1,0.7240000000000001,0.276,weasel,,1,,296.0,,,,,,,0,1,0,0,0,,,,,0,0,9.0,0,0,0,0.016722408,1,None,,,,9.0,0,0,0,1,0,0,0
91,266,1,1,0.767,0.233,wendello qar deeth,,0,Qartheen,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1,None,,,,40.0,1,1,0,1,0,0,0
92,267,1,1,0.8220000000000001,0.17800000000000002,werlag,,0,Ironborn,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,House Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
93,268,0,0,0.47,0.53,rafford,,1,,,300.0,,,,House Clegane,,0,1,1,1,1,,,,,0,0,,0,0,0,0.096989967,0,None,,,,19.0,1,0,0,1,0,1,0
94,269,1,1,0.7879999999999999,0.212,jhogo,Bloodrider,0,Dothraki,281.0,,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,24.0,0,0,0,0.200668896,1,House Targaryen,,,,23.0,1,0,1,1,1,0,1
95,270,1,0,0.385,0.615,sour alyn,,1,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,1,None,,,,12.0,1,0,0,0,0,0,1
96,271,1,1,0.6509999999999999,0.349,tobho mott,,1,Qohor,,,,,,,,1,1,1,1,1,,,,,0,0,,0,0,0,0.08361204,1,None,,,,27.0,1,0,1,0,1,0,0
97,272,1,0,0.02,0.98,zollo,,1,Dothraki,,,,,,Brave Companions,,0,0,1,1,0,,,,,0,0,,0,0,0,0.036789298,1,None,,,,21.0,1,0,0,0,1,0,0
98,273,0,1,0.6920000000000001,0.308,tanda stokeworth,Stokeworth,0,,,300.0,,,,House Stokeworth,,1,1,1,1,1,,,,,0,1,,1,1,0,0.113712375,0,Lannister,300.0,4.0,32.0,2.0,0,1,0,1,1,0,0
99,274,1,0,0.313,0.687,samwell tarly,,1,Westeros,283.0,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,22.0,0,0,1,0.969899666,1,Night's Watch,,,,70.0,1,1,1,1,1,1,1
100,289,1,1,0.62,0.38,aemon costayne,,1,,,,,,,House Costayne,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,Lannister,,,,,1,1,0,0,1,0,0
101,291,1,1,0.76,0.24,aethan,,0,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,Night's Watch,,,,0.0,1,0,0,0,1,0,0
102,293,0,0,0.051,0.9490000000000001,aggar,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.026755853,0,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
103,298,0,0,0.282,0.718,alebelly,,1,Northmen,,299.0,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0,House Stark,299.0,2.0,46.0,4.0,1,0,0,1,0,0,0
104,316,1,1,0.976,0.024,ambrode,,0,Ironborn,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,Greyjoy,,,,24.0,1,0,0,1,0,0,0
105,317,1,1,0.593,0.40700000000000003,andrey dalt,Ser,0,Dornish,,,,,,House Dalt,,0,0,0,1,0,,,,,0,1,,0,0,0,0.036789298,1,Martell,,,,21.0,1,1,0,0,0,1,0
106,321,1,1,0.767,0.233,arneld,Ser,1,,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0,0,0.003344482,1,Lannister,,,,59.0,1,0,0,1,0,0,0
107,324,1,1,0.7040000000000001,0.29600000000000004,arron,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1,Night's Watch,,,,75.0,1,0,0,0,1,0,1
108,325,1,1,0.9179999999999999,0.08199999999999999,arryk (guard),,0,,,,,,,House Tyrell,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,House Tyrell,,,,6.0,1,0,0,0,1,1,0
109,326,1,0,0.435,0.565,arron qorgyle,Ser,1,,,,,,,House Qorgyle,,0,0,1,1,0,,,,,0,1,,0,0,0,0.023411371,1,Martell,,,,38.0,1,1,0,0,1,0,0
110,327,1,1,0.537,0.46299999999999997,arson,,1,Free Folk,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1,Wildling,,,,26.0,1,0,0,0,1,0,0
111,335,0,0,0.21,0.79,bannen,,1,,,299.0,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.033444816,0,Night's Watch,299.0,3.0,33.0,0.0,1,0,0,0,1,0,0
112,338,1,1,0.882,0.11800000000000001,barth (brewer),,1,,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,House Stark,,,,50.0,1,0,0,1,0,0,0
113,339,1,1,0.6759999999999999,0.324,bass,,0,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,Night's Watch,,,,52.0,1,0,1,0,0,0,0
114,340,1,1,0.983,0.017,bearded ben,,1,,,,,,,Night's Watch,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,1,Night's Watch,,,,,1,0,0,0,0,1,0
115,341,1,1,0.6890000000000001,0.311,becca,,1,,,,,,,House Arryn,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,House Arryn,,,,12.0,0,0,1,0,0,0,0
116,346,1,1,0.988,0.012,bellonara otherys,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.013377926000000002,1,None,,,,34.0,0,1,0,0,0,1,0
117,347,1,1,0.816,0.184,bella,,0,,283.0,,,,,,,0,0,1,1,0,,,,,0,0,22.0,0,0,0,0.08361204,1,None,,,,29.0,0,0,0,0,1,0,0
118,348,1,1,0.983,0.017,ben,,1,,293.0,,,,,,,0,0,0,1,0,,,,,0,0,12.0,0,0,0,0.010033445,1,None,,,,37.0,1,0,0,0,0,1,0
119,350,1,0,0.371,0.629,ben bones,,1,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.033444816,1,None,,,,12.0,1,0,0,0,0,0,1
120,355,1,1,0.981,0.019,bennet,Septon,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1,None,300.0,4.0,31.0,31.0,1,0,0,0,0,1,0
121,362,1,1,0.693,0.307,bessa (winterfell),,0,Northmen,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,Stark,,,,37.0,0,0,1,0,0,0,0
122,367,1,1,0.983,0.017,big boil,,1,Free Folk,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1,Wildling,,,,41.0,1,0,0,0,1,0,0
123,369,1,1,0.813,0.187,blane,,1,,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.02006689,1,Night's Watch,,,,23.0,1,0,0,1,0,0,0
124,371,1,1,0.7090000000000001,0.29100000000000004,borcas,,1,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,Night's Watch,,,,48.0,1,0,1,0,0,0,0
125,373,1,0,0.212,0.7879999999999999,borroq,,1,Free folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.026755853,1,Wildling,,,,0.0,1,0,0,0,0,0,1
126,382,1,1,0.866,0.134,brenett,Maester,1,,,,,,,House Frey,,0,0,1,0,0,,,,,0,1,,0,0,0,0.003344482,1,None,,,,49.0,1,0,0,0,1,0,0
127,385,1,1,0.7829999999999999,0.217,brusco,,1,Braavosi,,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.046822742,1,None,,,,22.0,1,0,0,0,0,1,1
